id,value
id_0,25.339523112267504
id_1,64.71587066713437
id_2,21.152238833443192
id_3,27.797677644879663
id_4,9.314157964538738
id_5,30.893222078059495
id_6,40.549121286154666
id_7,15.408199339831969
id_8,47.452982844296244
id_9,33.117932223280384
id_10,39.004409430412096
id_11,57.12949103582784
id_12,33.13636274069838
id_13,35.52517026163748
id_14,26.383825648217496
id_15,12.259798639947645
id_16,48.92062711730453
id_17,22.15270935515402
id_18,14.49254718682208
id_19,16.146612968206135
id_20,15.02361034229624
id_21,27.039399880870164
id_22,37.53933947744931
id_23,10.571243184861201
id_24,62.510278017947016
id_25,44.651717575437694
id_26,25.412423535011158
id_27,9.959936316412337
id_28,30.921847797223144
id_29,35.90927100084308
id_30,13.656388803322262
id_31,11.179269149816998
id_32,16.847313449851114
id_33,4.713774230722051
id_34,17.750863317824898
id_35,37.9391582073672
id_36,18.58525286351325
id_37,27.144556478376774
id_38,8.821472442914603
id_39,63.06302330896438
id_40,47.00007970307916
id_41,20.712500557178874
id_42,52.63277461739009
id_43,19.836286612826804
id_44,45.19473980855902
id_45,48.62533040585737
id_46,59.511100189553645
id_47,41.06360707964697
id_48,52.081093980394826
id_49,38.35859821022023
id_50,29.77111456287056
id_51,22.74974030421672
id_52,40.62479075228818
id_53,25.36342299423439
id_54,38.50958169093666
id_55,41.11721070565067
id_56,24.419610033293104
id_57,22.241092851632047
id_58,36.14388993976394
id_59,31.426307832714155
id_60,11.34592934378824
id_61,23.723436987412537
id_62,31.032797483551622
id_63,55.787629352175216
id_64,49.87759403007486
id_65,27.680280790965085
id_66,38.36605890222091
id_67,53.07572052756464
id_68,27.477038803427952
id_69,35.5944812775928
id_70,64.07037873045192
id_71,52.3642980849731
id_72,43.74876422820396
id_73,11.6796165292307
id_74,11.213818589997578
id_75,35.68786587212911
id_76,63.98789713837334
id_77,3.165193134541407
id_78,40.32819690105582
id_79,36.60027055721839
id_80,9.366567809476683
id_81,19.501560518274605
id_82,7.682369228450904
id_83,30.846599215966137
id_84,7.851980615461919
id_85,9.811137055731406
id_86,15.677797772411413
id_87,12.218794563484854
id_88,18.183087012233496
id_89,24.615518804489625
id_90,33.24105917691371
id_91,9.495906363007649
id_92,14.874796399180594
id_93,8.716067858500663
id_94,38.04792126047296
id_95,18.61533131899059
id_96,14.496260586450287
id_97,6.858063195338825
id_98,11.564652359440858
id_99,8.461485523418846
id_100,11.357750156093852
id_101,20.194943108030785
id_102,10.976848291552647
id_103,9.711635021194818
id_104,14.770529464398264
id_105,35.14291430348955
id_106,25.11361755627865
id_107,9.597231970970657
id_108,16.02635621003268
id_109,17.69251355916572
id_110,12.759533770528925
id_111,13.895989960558078
id_112,15.983453252812843
id_113,24.91524408144593
id_114,22.334904051241423
id_115,16.90258963209002
id_116,11.103442539560266
id_117,43.600702866777354
id_118,25.05977901079758
id_119,4.246214618389283
id_120,2.3006308918968292
id_121,9.966915188245226
id_122,14.2586802362223
id_123,12.14654731933856
id_124,7.340791181102201
id_125,26.852451875649123
id_126,20.51483448318286
id_127,11.580759415794867
id_128,17.50126538329586
id_129,16.28026862489768
id_130,3.610784188989936
id_131,34.34485990421746
id_132,17.199431216183104
id_133,22.74359696459239
id_134,23.53574491292726
id_135,21.883146331952826
id_136,11.577751896698558
id_137,22.116759699103937
id_138,82.22671873384303
id_139,60.752324619025
id_140,30.54019238248437
id_141,16.19258912728531
id_142,23.20751498921814
id_143,8.99232451986774
id_144,13.951547433129818
id_145,11.206485580738779
id_146,18.82438658014564
id_147,9.559143490736348
id_148,12.649341790634255
id_149,15.622837368236866
id_150,45.32333178637576
id_151,18.335303600349484
id_152,24.319676988764265
id_153,12.895117382733593
id_154,18.19115952987468
id_155,25.947245376869375
id_156,16.509921187524593
id_157,34.70870707714988
id_158,7.068340216069525
id_159,16.237326551389515
id_160,43.91789389228794
id_161,18.710703149722008
id_162,58.91773369361398
id_163,18.465251932136855
id_164,36.24767940791815
id_165,25.572420989185296
id_166,20.616528270422396
id_167,1.4041762056248612
id_168,68.8494612728994
id_169,19.16902473845842
id_170,17.915825624781988
id_171,74.41859126501603
id_172,18.703522628636428
id_173,4.74112892813983
id_174,27.877203364599517
id_175,3.157025841738516
id_176,9.02279263853252
id_177,20.533172606336525
id_178,21.782174475873077
id_179,20.46202020128788
id_180,45.39991271568786
id_181,28.605540516879323
id_182,29.90333434545045
id_183,13.115436264274068
id_184,5.232608040055115
id_185,41.05082704065297
id_186,36.54282606900053
id_187,34.56946741643362
id_188,14.647481627559271
id_189,20.89213221610897
id_190,14.960853227619605
id_191,15.407392012537235
id_192,32.25101393970485
id_193,75.53515461593001
id_194,29.11516337185864
id_195,12.128934850694847
id_196,61.9493342241498
id_197,18.11936464741881
id_198,18.6592640763899
id_199,22.507769627817044
id_200,162.74605271543484
id_201,24.40893908838589
id_202,58.881438543068384
id_203,7.917307904828304
id_204,59.613568829020736
id_205,32.67812682144656
id_206,12.192452787595656
id_207,15.613502533885665
id_208,67.7346564011181
id_209,16.131259539352413
id_210,30.109354370230612
id_211,71.64096139087117
id_212,22.5999052594048
id_213,87.07439327584373
id_214,38.76301508045016
id_215,73.70048445271635
id_216,107.26657071432642
id_217,76.901720185597
id_218,29.99810521607926
id_219,19.38187176240816
id_220,32.00959109352463
id_221,53.56804862440852
id_222,25.787802824462702
id_223,39.49237965506128
id_224,42.282028894349025
id_225,6.697148820408464
id_226,4.389530846025926
id_227,78.91578953472026
id_228,27.184535095060323
id_229,1.0710011223282638
id_230,40.19682274458328
id_231,12.63984946543142
id_232,20.239906164110096
id_233,4.589492419392246
id_234,14.859741242810456
id_235,19.957371040085732
id_236,13.454439036224725
id_237,0.4289589735165481
id_238,22.812966439411117
id_239,3.1705307822657076
